Behaviour Code,Definition,Personality Trait Links,Type of Act,Example,behavior_group
Refuse to Share,Withhold,Low Agreeableness,Competition,"""No, I won't tell you my method.""",Confrontational
Taunt,Intimidate,Extraversion,Competition,"""You'll never keep up with me.""",Confrontational
Exploit Weakness,Attack vulnerability,Low Agreeableness,Competition,"""You always panic—this will break you.""",Confrontational
Persuade,Shift perspective,"Conscientiousness, Extraversion",Conflict Resolution,"""Try it my way—it's safer and faster.""",Cooperative
Mediate,Reframe,Agreeableness,Conflict Resolution,"""Let's focus on our shared goal instead.""",Cooperative
Problem-solve,Suggest fix,"Conscientiousness, Openness",Conflict Resolution,"""What if we combine both approaches?""",Cooperative
Concede,Back down,Agreeableness,Conflict Resolution,"""Alright, we'll do it your way.""",Cooperative
Acknowledge Fault,Admit,"Agreeableness, Neuroticism",Conflict Resolution,"""I was too impatient earlier.""",Cooperative
Express Regret,Apologize,Agreeableness,Conflict Resolution,"""I shouldn't have snapped at you.""",Cooperative
Disagree,Reject purposal,Conscientiousness,Conflict Resolution,"""I can't support that plan.""",Neutral
Blame,Accuse,Low Agreeableness,Conflict Resolution,"""This mistake was your fault.""",Confrontational
Threaten,Intimidate,"Neuroticism, Low Agreeableness",Conflict Resolution,"""If you ignore me, I'll quit.""",Confrontational
Escalate,Intensify,Neuroticism,Conflict Resolution,"""This is ridiculous—I'm done with this team!""",Confrontational
Counter-accuse,Deflect blame,Low Agreeableness,Conflict Resolution,"""Don't blame me—it was your error.""",Confrontational
Acknowledge,Recognize statement,"Agreeableness, Conscientiousness",Universal,"Right, I follow you there.",Cooperative
Express Emotion,Show feeling,"Openness, Neuroticism",Universal,That actually frustrates me a bit.,Neutral
Humor,Use humor or irony,"Extraversion, Openness",Universal,"Well, that went up in smoke faster than my last plan!",Neutral
Self-Disclose,Share experience,"Openness, Agreeableness",Universal,"Back when I started, I made the same mistake.",Cooperative
Encourage,Sustain motivation,"Agreeableness, Extraversion",Universal,That’s worth exploring further.,Cooperative
Reflect,Restate point,"Conscientiousness, Agreeableness",Universal,So you’re saying the deadline’s the real issue.,Neutral
Meta-Comment,Note conversation flow,"Openness, Conscientiousness",Universal,We seem to be talking past each other right now.,Neutral
Challenge,Question idea,"Openness, Low Neuroticism",Universal,"Maybe, but have you considered the downside?",Confrontational
Interrupt,Cut in to speak,"Extraversion, Low Agreeableness",Universal,Hold on—let me finish that point.,Confrontational
Dismiss,Reject input,Low Agreeableness,Universal,That’s not really relevant.,Confrontational
Sarcasm,Mock indirectly,"Low Agreeableness, Openness",Universal,"Oh sure, because that worked so well last time.",Confrontational
Deflect,Shift topic,"Neuroticism, Conscientiousness",Universal,Let’s not get into that right now.,Neutral
Shift Topic,Move discussion,Conscientiousness,Universal,"Anyway, about tomorrow’s plan…",Neutral
Withdraw,Pull back participation,"Neuroticism, Low Extraversion",Universal,I think I’ll stay out of this one.,Confrontational
Express Gratitude,Thank contribution,"Agreeableness, Humility",Universal,"Thanks, that helps clarify things.",Cooperative
